Country,TIME_PERIOD,OBS_VALUE
Denmark,2018,107686
Italy,2018,449781
Korea,2018,394627
New Zealand,2018,0
United States,2018,4692502
Denmark,2019,109357
Italy,2019,449571
Korea,2019,414983
New Zealand,2019,55343
United States,2019,4800038
Denmark,2020,111016
Italy,2020,454311
Korea,2020,436340
New Zealand,2020,57410
United States,2020,4975369
Denmark,2021,0
Italy,2021,455090
Korea,2021,457849
New Zealand,2021,0
United States,2021,5074530
Denmark,2022,0
Italy,2022,455204
Korea,2022,0
New Zealand,2022,0
United States,2022,5312222
